movieId,title,genres
16,Casino (1995),Crime|Drama
19,Ace Ventura: When Nature Calls (1995),Comedy
24,Powder (1995),Drama|Sci-Fi
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
106489,"Hobbit: The Desolation of Smaug, The (2013)",Adventure|Fantasy|IMAX
108190,Divergent (2014),Adventure|Romance|Sci-Fi|IMAX
109487,Interstellar (2014),Sci-Fi|IMAX
111360,Lucy (2014),Action|Sci-Fi
100108,Parker (2013),Crime|Thriller
100326,Stand Up Guys (2012),Comedy|Crime
101864,Oblivion (2013),Action|Adventure|Sci-Fi|IMAX
107406,Snowpiercer (2013),Action|Drama|Sci-Fi
108188,Jack Ryan: Shadow Recruit (2014),Action|Drama|Thriller|IMAX
108729,Enemy (2013),Mystery|Thriller
99992,Shadow Dancer (2012),Crime|Drama|Thriller
99996,It's a Disaster (2012),Comedy|Drama
3018,Re-Animator (1985),Comedy|Horror|Sci-Fi
3030,Yojimbo (1961),Action|Adventure
3033,Spaceballs (1987),Comedy|Sci-Fi
